game,chart,team_num,offense,play_num,team_play,text,play_type,quarter,drive,down,red_zone,distance,yards,explosive,successful,uns_catches,uns,int,count,sr,xr,team_sr,team_xr,rr,rusher,passer,receiver,hex,hex_dark,extra_yards,avg_extra_yards
2024-01-01 Alabama at Michigan,teams,1,Alabama,,,,,,,,,,,6,24,,,,66,0.36,0.09,0.00,0.00,0.00,,,,#E82525CC,#5A0000CC,,0.00
2024-01-01 Alabama at Michigan,teams,2,Michigan,,,,,,,,,,,9,21,,,,59,0.36,0.15,0.00,0.00,0.00,,,,#E9C730CC,#7A6406CC,,0.00
2024-01-01 Alabama at Michigan,play_type,1,Alabama,,,,Rush,,,,,,,5,18,,,,37,0.49,0.14,0.00,0.00,0.00,,,,#E82525CC,#5A0000CC,,0.00
2024-01-01 Alabama at Michigan,play_type,2,Michigan,,,,Rush,,,,,,,3,10,,,,31,0.32,0.10,0.00,0.00,0.00,,,,#E9C730CC,#7A6406CC,,0.00
2024-01-01 Alabama at Michigan,play_type,1,Alabama,,,,Pass,,,,,,,1,6,,,,29,0.21,0.03,0.00,0.00,0.00,,,,#E82525CC,#5A0000CC,,0.00
2024-01-01 Alabama at Michigan,play_type,2,Michigan,,,,Pass,,,,,,,6,11,,,,28,0.39,0.21,0.00,0.00,0.00,,,,#E9C730CC,#7A6406CC,,0.00
2024-01-01 Alabama at Michigan,quarter,1,Alabama,,,,,1Q,,,,,,1,4,,,,10,0.40,0.10,0.00,0.00,0.00,,,,#E82525CC,#5A0000CC,,0.00
2024-01-01 Alabama at Michigan,quarter,1,Alabama,,,,,2Q,,,,,,2,4,,,,15,0.27,0.13,0.00,0.00,0.00,,,,#E82525CC,#5A0000CC,,0.00
2024-01-01 Alabama at Michigan,quarter,1,Alabama,,,,,3Q,,,,,,0,8,,,,18,0.44,0.00,0.00,0.00,0.00,,,,#E82525CC,#5A0000CC,,0.00
2024-01-01 Alabama at Michigan,quarter,1,Alabama,,,,,4Q,,,,,,2,7,,,,17,0.41,0.12,0.00,0.00,0.00,,,,#E82525CC,#5A0000CC,,0.00
2024-01-01 Alabama at Michigan,quarter,1,Alabama,,,,,OT,,,,,,1,1,,,,6,0.17,0.17,0.00,0.00,0.00,,,,#E82525CC,#5A0000CC,,0.00
2024-01-01 Alabama at Michigan,quarter,2,Michigan,,,,,1Q,,,,,,2,8,,,,18,0.44,0.11,0.00,0.00,0.00,,,,#E9C730CC,#7A6406CC,,0.00
2024-01-01 Alabama at Michigan,quarter,2,Michigan,,,,,2Q,,,,,,2,5,,,,13,0.38,0.15,0.00,0.00,0.00,,,,#E9C730CC,#7A6406CC,,0.00
2024-01-01 Alabama at Michigan,quarter,2,Michigan,,,,,3Q,,,,,,0,1,,,,9,0.11,0.00,0.00,0.00,0.00,,,,#E9C730CC,#7A6406CC,,0.00
2024-01-01 Alabama at Michigan,quarter,2,Michigan,,,,,4Q,,,,,,4,5,,,,17,0.29,0.24,0.00,0.00,0.00,,,,#E9C730CC,#7A6406CC,,0.00
2024-01-01 Alabama at Michigan,quarter,2,Michigan,,,,,OT,,,,,,1,2,,,,2,1.00,0.50,0.00,0.00,0.00,,,,#E9C730CC,#7A6406CC,,0.00
2024-01-01 Alabama at Michigan,down,1,Alabama,,,,,,,1D,,,,2,10,,,,29,0.34,0.07,0.00,0.00,0.00,,,,#E82525CC,#5A0000CC,,0.00
2024-01-01 Alabama at Michigan,down,1,Alabama,,,,,,,2D,,,,4,11,,,,23,0.48,0.17,0.00,0.00,0.00,,,,#E82525CC,#5A0000CC,,0.00
2024-01-01 Alabama at Michigan,down,1,Alabama,,,,,,,3D,,,,0,3,,,,13,0.23,0.00,0.00,0.00,0.00,,,,#E82525CC,#5A0000CC,,0.00
2024-01-01 Alabama at Michigan,down,1,Alabama,,,,,,,4D,,,,0,0,,,,1,0.00,0.00,0.00,0.00,0.00,,,,#E82525CC,#5A0000CC,,0.00
2024-01-01 Alabama at Michigan,down,2,Michigan,,,,,,,1D,,,,4,9,,,,25,0.36,0.16,0.00,0.00,0.00,,,,#E9C730CC,#7A6406CC,,0.00
2024-01-01 Alabama at Michigan,down,2,Michigan,,,,,,,2D,,,,3,8,,,,21,0.38,0.14,0.00,0.00,0.00,,,,#E9C730CC,#7A6406CC,,0.00
2024-01-01 Alabama at Michigan,down,2,Michigan,,,,,,,3D,,,,1,2,,,,11,0.18,0.09,0.00,0.00,0.00,,,,#E9C730CC,#7A6406CC,,0.00
2024-01-01 Alabama at Michigan,down,2,Michigan,,,,,,,4D,,,,1,2,,,,2,1.00,0.50,0.00,0.00,0.00,,,,#E9C730CC,#7A6406CC,,0.00
