team,quarter,drive_team,play_count,play_count_team,down,red_zone,play_type,yards_total,play_result,run_sr,pass_sr,total_sr,run_rate,runner,passer,receiver,tackler_one,tackler_two,tackler_one_credit,tackler_two_credit,play_description
Auburn,1Q,1,2,1,1,Normal,pass,0,successful,,1.00,1.00,0.00,,B.Nix,A.Schwartz,C.Harris,,1,,"10-B.Nix complete to 5-A.Schwartz. 5-A.Schwartz to AUB 38, FUMBLES (8-C.Harris). 11-S.Jackson to AUB 38 for no gain."
Auburn,1Q,1,3,2,1,Normal,pass,20,explosive,,1.00,1.00,0.00,,B.Nix,S.Williams,T.Diggs,,1,,10-B.Nix complete to 18-S.Williams. 18-S.Williams pushed ob at BAMA 42 for 20 yards (7-T.Diggs).
Auburn,1Q,1,4,3,1,Normal,run,3,not successful,0.00,,0.67,0.33,D.Williams,,,A.Jennings,,1,,3-D.Williams to BAMA 39 for 3 yards (33-A.Jennings).
Auburn,1Q,1,5,4,2,Normal,run,-3,not successful,0.00,,0.50,0.50,B.Nix,,,J.Mayden,,1,,10-B.Nix pushed ob at BAMA 42 for -3 yards (21-J.Mayden).
Auburn,1Q,1,6,5,3,Normal,pass,,not successful,,0.67,0.40,0.40,,B.Nix,S.Jackson,,,,,10-B.Nix incomplete. Intended for 11-S.Jackson.
Alabama,1Q,1,8,1,1,Normal,run,9,successful,1.00,,1.00,1.00,N.Harris,,,D.Thomas,,1,,22-N.Harris to BAMA 29 for 9 yards (24-D.Thomas).
Alabama,1Q,1,9,2,2,Normal,run,4,successful,1.00,,1.00,1.00,N.Harris,,,O.Pappoe,,1,,22-N.Harris to BAMA 33 for 4 yards (10-O.Pappoe).
Alabama,1Q,1,10,3,1,Normal,pass,2,not successful,,0.00,0.67,0.67,,M.Jones,J.Jeudy,O.Pappoe,J.Dinson,0.5,0.5,"10-M.Jones complete to 4-J.Jeudy. 4-J.Jeudy to BAMA 35 for 2 yards (10-O.Pappoe,20-J.Dinson)."
Alabama,1Q,1,11,4,2,Normal,pass,6,successful,,0.50,0.75,0.50,,M.Jones,N.Harris,N.Igbinoghene,,1,,10-M.Jones complete to 22-N.Harris. 22-N.Harris pushed ob at BAMA 41 for 6 yards (4-N.Igbinoghene).
Alabama,1Q,1,12,5,3,Normal,no play,5,successful,,,0.80,,,,,,,,,"Team penalty on AUB, Illegal formation, 5 yards, enforced at BAMA 41. No Play."
Alabama,1Q,1,13,6,1,Normal,run,17,explosive,1.00,,0.83,0.60,N.Harris,,,N.Igbinoghene,,1,,22-N.Harris pushed ob at AUB 37 for 17 yards (4-N.Igbinoghene).
Alabama,1Q,1,15,8,1,Normal,run,23,explosive,1.00,,0.86,0.67,N.Harris,,,J.Dinson,,1,,22-N.Harris pushed ob at AUB 24 for 23 yards (20-J.Dinson).
Alabama,1Q,1,16,9,1,Normal,pass,,not successful,,0.33,0.75,0.57,,M.Jones,D.Smith,,,,,10-M.Jones incomplete. Intended for 6-D.Smith.
Alabama,1Q,1,17,10,2,Normal,run,-1,not successful,0.80,,0.67,0.63,N.Harris,,,D.Brown,,1,,22-N.Harris to AUB 25 for -1 yard (5-D.Brown).
Alabama,1Q,1,18,11,3,Normal,pass,,not successful,,0.25,0.60,0.56,,M.Jones,M.Tennison,,,,,10-M.Jones incomplete. Intended for 88-M.Tennison.
Auburn,1Q,2,21,7,1,Normal,pass,2,not successful,,0.50,0.33,0.33,,B.Nix,M.Hill,C.Barmore,X.McKinney,0.5,0.5,"10-B.Nix complete to 19-M.Hill. 19-M.Hill to AUB 31 for 2 yards (58-C.Barmore,15-X.McKinney)."
Auburn,1Q,2,22,8,2,Normal,pass,,not successful,,0.40,0.29,0.29,,B.Nix,S.Williams,,,,,10-B.Nix incomplete. Intended for 18-S.Williams.
Auburn,1Q,2,23,9,3,Normal,pass,,not successful,,0.33,0.25,0.25,,B.Nix,S.Jackson,,,,,10-B.Nix incomplete. Intended for 11-S.Jackson.
Alabama,1Q,2,25,13,1,Normal,run,7,successful,0.83,,0.64,0.60,N.Harris,,,D.Thomas,Z.McClain,0.5,0.5,"22-N.Harris to BAMA 24 for 7 yards (24-D.Thomas,35-Z.McClain)."
Alabama,1Q,2,26,14,2,Normal,pass,-7,not successful,,0.20,0.58,0.55,,M.Jones,H.Ruggs,D.Thomas,,1,,10-M.Jones complete to 11-H.Ruggs. 11-H.Ruggs to BAMA 17 for -7 yards (24-D.Thomas).
Alabama,1Q,2,27,15,3,Normal,run,11,successful,0.86,,0.62,0.58,M.Jones,,,D.Brown,,1,,"10-M.Jones scrambles, pushed ob at BAMA 28 for 11 yards (5-D.Brown)."
Alabama,1Q,2,28,16,1,Normal,pass,-8,not successful,,0.17,0.57,0.54,,M.Jones,,S.Monday,,1,,10-M.Jones sacked at BAMA 20 for -8 yards (21-S.Monday).
Alabama,1Q,2,29,17,2,Normal,pass,3,not successful,,0.14,0.53,0.50,,M.Jones,N.Harris,Z.McClain,,1,,10-M.Jones complete to 22-N.Harris. 22-N.Harris to BAMA 23 for 3 yards (35-Z.McClain).
Alabama,1Q,2,31,19,3,Normal,pass,4,not successful,,0.13,0.50,0.47,,M.Jones,N.Harris,O.Pappoe,T.Moultry,0.5,0.5,"10-M.Jones complete to 22-N.Harris. 22-N.Harris to BAMA 22 for 4 yards (10-O.Pappoe,55-T.Moultry)."
Auburn,1Q,3,33,11,1,Normal,run,15,explosive,0.33,,0.33,0.33,J.Whitlow,,,S.Lee,,1,,28-J.Whitlow pushed ob at BAMA 17 for 15 yards (35-S.Lee).
Auburn,1Q,3,34,12,1,Red Zone,penalty,7,successful,,,0.40,,,,,X.McKinney,,1,,"28-J.Whitlow to BAMA 14 for 3 yards (15-X.McKinney). Penalty on BAMA 35-S.Lee, Facemasking, 7 yards, enforced at BAMA 14."
Auburn,1Q,3,35,13,1,Red Zone,run,7,successful,0.50,,0.45,0.40,B.Nix,,,,,,, 10-B.Nix runs 7 yards for a touchdown.
Alabama,1Q,3,39,21,1,Normal,pass,6,successful,,0.22,0.53,0.44,,M.Jones,D.Smith,N.Igbinoghene,,1,,10-M.Jones complete to 6-D.Smith. 6-D.Smith pushed ob at BAMA 31 for 6 yards (4-N.Igbinoghene).
Alabama,1Q,3,40,22,2,Normal,run,5,successful,0.88,,0.56,0.47,N.Harris,,,C.Wooten,,1,,22-N.Harris to BAMA 36 for 5 yards (31-C.Wooten).
